Columna1	cesi98	cesi976	cesi17	cesi74	cesi21	cesi187	cesi509	cesi15	cesi1187	Cesi_C-4	Cesi_C-5	Cesi_C-8	Cesi_C-23	Cesi_C-33	Cesi_C-24	Cesi_C-21
1124/20	185	273	193	298/300	211	173/175	113	342	171/177	210/217	166/174	258/262	215	250/263	182/215	179
1125/20	185/191	273	193	298/300	211	173	113	336/342	171/175	210	166/174	258/273	215/275	259/263	182	179/242
1126/20	185/191	273	193	298/300	211	169/173	113	336/342	175/195	210	174/177	262/273	215/266	259/263	182/215	179/233
1127/20	185/191	271/273	193	298	211	163	113	-	177	210/217	177	273/278	215/275/277	259/263	182	179/242/245
1128/20	185/191	273	190/193	298	211	173/175	113	336/342	175/177	210/213	166/174	278/286	215/240/277	250/259	182	179/206/245
1129/20	182	273	193	298/300	211	177/179	113	336/342	177	210	174/177	258	215/263	250/263	182/203	179/230
1130/20	-	-	-	298/300	211	-	-	336	-	210	174/182	258/273	215/275	250/259	182	179/242
1131/20	-	273	-	298/300	211	171/173	113	336	171/175	-	174/182	258/273	215/275	250/259	182	179/242
1132/20	185/191	273	193	298/300	-	173	113	336/342	171/175	210	166/174	258/273	215/275	259/263	182	179/242
1133/20	185/191	273	193	300	-	173/177	113	336/342	171/177	210	166/177	273/278	215/275	259	182	179/242
1134/20	185/191	273	190	298/300	-			336/342		210	174/177	258/273	215/240	259	182	179/206
1135/20	185/191	-	-	298/300	-	173/177	113/123	336/342	175	210	166/174	258/273	-	259/263	182	-
1136/20	185/191	271/273	193	298	-	163	113	342	177	210/217	177	273/278	215/275/277	259/263	182	179/242/245
1137/20	191	273	193	298/300	-	163/177	-	336/342	175	210/213	174/177	258/278	215/263/275	250/267	182/215	179/230/242
1138/20	185	273	193	298/300	-	175	113	342	171/177	210/217	166/174	258/262	215	250/263	182/215	179
1139/20	?	?	?	-	211	163/177	-	-	-	-	-	-	-	-	-	-
1140/20	191	273	193	298/300	211	169/177	113	336	175	210/213	174/177	278/290	215/240/277	250/259	182	179/206/245
1141/20	185	273	193	298/300	211	173/175	113	342	171/177	210/217	166/174	258/262	215	250/263	182/215	179
1142/20	185/191	273	-	298/300	211	169/177	113	336/342	175/177	210/213	174/177	273/278	215/240	250/259	182	179/206
